generation,id,novelty,score,species,parent1,parent2
0,271,24.066199105821784,0.5143220219208097,1,-1,-1
1,660,24.58649618640425,0.7514077316396882,6,318,480
2,1299,12.828081590516112,0.7609027038148125,1,644,613
3,1716,8.565216483563011,0.7605410923062601,3,1062,1083
4,2126,5.598777843954531,0.7614979080407243,3,1707,1705
5,2541,6.517730229862385,0.7626298556342194,3,2136,1682
6,3011,9.961658514305917,0.759289384934535,6,2345,2807
7,3551,6.7702043759723605,0.7610225251718357,3,3216,3237
8,4032,8.572478168451996,0.7610029169809066,6,3522,3558
9,4463,12.653960481561638,0.7603284846373258,1,4196,4199
10,4463,11.205941345270727,0.7603284846373258,1,4196,4199
11,5399,14.36092569154394,0.7540617247560885,3,4997,4971
12,6002,5.936024936042005,0.761535024108481,3,3994,5385
13,6745,4.68395766748032,0.7603603094254093,6,6198,6182
14,6851,7.9181270330035405,0.7614959997525447,1,5901,5537
15,7443,6.206105203512304,0.7621719340108108,3,6978,6468
16,8148,10.026253622974751,0.7549319282294827,5,7723,7662
17,8463,8.544627955369839,0.7614547125477642,1,7993,7855
18,8815,8.784873500738863,0.7580952489927267,3,8328,6418
19,9633,12.697773896527094,0.7549714231932158,5,8061,8883
20,10198,9.026737375674866,0.7569222075506027,5,9676,9668
21,10633,10.815572648712818,0.7588468523453648,6,9861,6862
22,10745,7.608139582421603,0.7575750149779602,5,10317,10324
23,11692,7.853003817841171,0.7617981435500467,6,11184,11192
24,11773,9.540694411106408,0.7593281409880935,3,11332,11332
25,12679,6.814392271660754,0.7598726209150801,5,11255,11890
26,12900,7.281675432002718,0.761241984128029,2,11966,11966
27,13279,9.777821615492522,0.7588491273250281,3,12792,12844
28,13802,10.94288125126633,0.7582357453653982,3,13553,13618
29,14532,8.12387207541858,0.7620984307620962,5,13669,3074
30,15125,8.632514030610237,0.7567998062249548,5,14599,14579
31,15574,10.459644272329319,0.7623379763410139,5,14756,15112
32,15680,12.014124380085702,0.75735617718603,3,15149,15207
33,16522,6.556038705873969,0.7628410253036384,5,15900,16013
34,16995,11.86432179104875,0.7612038899758498,3,16159,16452
35,17369,8.717906517193207,0.7612783387156581,3,16891,16169
36,17646,7.002063310487447,0.7593777639475352,5,17448,11273
37,18200,10.151903277201592,0.7620169092084962,3,16169,17670
38,18833,14.215592477860158,0.7611583591080949,1,18088,18102
39,19487,7.773775387578647,0.7552879046634338,5,18317,18585
40,19908,9.277523416451832,0.7605111001562807,5,19371,19355
41,20283,9.31664888017599,0.7592371875237356,6,19695,19767
42,20790,12.503038976283477,0.7582727016338452,6,20318,20328
43,21052,10.484670540947942,0.7586020285973041,2,20710,20683
44,20057,24.300760263979665,0.7504270142583891,3,19573,19584
45,22321,8.461407608069987,0.7612525754443491,3,21785,20057
46,22851,11.436435368107823,0.7571636487680611,4,22130,22232
47,23220,9.79237317113468,0.761175228257145,2,22458,22144
48,23670,11.940571188674419,0.7616880466465732,5,23132,23132
49,24208,11.666706733054442,0.7621781121047064,5,23692,23773
50,24453,7.740195766511617,0.7580336473168477,4,23553,23997
51,24997,9.134686872641627,0.7559728927054435,2,24573,24561
52,25611,10.5167651594726,0.761189112042275,3,16169,24945
53,25893,7.180615879220464,0.7628441438086668,5,25655,24853
54,26763,12.02980648819089,0.7606161458251572,6,25873,25873
55,26999,12.197359167002583,0.761131161815816,2,26358,26416
56,27512,10.022388303725993,0.7519508859157694,5,27300,27258
57,28197,12.754726907512062,0.7558520364345256,2,27377,27380
58,28675,14.669480840651879,0.7580786519475741,6,18878,27890
59,28885,7.983848230513974,0.7621890458596785,3,28389,26458
60,29588,7.814446045490208,0.7606742817037924,6,29258,29258
61,29962,11.235191039413053,0.7615887118122687,6,29528,29524
62,30324,9.289636457647378,0.7623694516619592,6,30004,29958
63,30929,17.177084986441354,0.7578889572575724,6,30292,30321
64,31327,10.51176108738705,0.7599447118288638,3,31036,30986
65,31993,12.557740996468544,0.7574051319842146,6,31609,29974
66,32279,7.101929110498465,0.7606615965988212,3,31866,31848
67,32803,6.998437144989958,0.7620416912376857,3,32278,31839
68,33290,13.829136312613427,0.7609343951106841,2,32734,32309
