generation,id,novelty,score,species,parent1,parent2
0,135,75.37719715539416,0.3997528283038152,1,-1,-1
1,669,34.22843094694248,0.4607816480219942,2,319,244
2,1104,37.03150648727036,0.023633193765217636,2,776,968
3,1104,28.177754082131138,0.023633193765217636,4,776,968
4,2434,20.76255906921527,0.47601500030476374,4,1505,1515
5,2778,25.05100841149854,0.1067500500362055,2,2222,2227
6,3192,27.9534346820691,0.1097649743971086,1,2277,2680
7,3655,32.05741448291577,0.22982236679339416,5,2953,1636
8,3655,32.69229573457478,0.22982236679339416,5,2953,1636
9,3655,34.28052530589635,0.22982236679339416,1,2953,1636
10,3655,33.538932248419954,0.22982236679339416,2,2953,1636
11,3655,33.84191205290296,0.22982236679339416,5,2953,1636
12,3655,32.22089063817838,0.22982236679339416,5,2953,1636
13,3655,32.73329439386105,0.22982236679339416,5,2953,1636
14,7271,30.68028721303902,0.2708559674229678,4,6769,6771
15,7271,30.112001272765745,0.2708559674229678,4,6769,6771
16,3655,29.191757069220575,0.22982236679339416,5,2953,1636
17,3655,27.858006079637843,0.22982236679339416,5,2953,1636
18,9114,25.600559579736387,0.22654360600713364,1,8547,8586
19,9767,113.39167177638804,0.29059757122683816,1,9099,9114
20,10235,97.39902645327429,0.2582313642851967,1,9740,9752
21,10738,90.84497779244887,0.2365744285786507,1,10281,10235
22,10738,88.7109791785078,0.2365744285786507,1,10281,10235
23,11693,95.23242373718872,0.09864645646519074,1,11203,11183
24,11693,96.12451819716931,0.09864645646519074,1,11203,11183
25,11693,105.02904247003389,0.09864645646519074,1,11203,11183
26,11693,90.13962080011656,0.09864645646519074,1,11203,11183
27,11693,81.88401043186859,0.09864645646519074,1,11203,11183
28,11693,87.76823490416584,0.09864645646519074,1,11203,11183
29,11693,85.28770017166603,0.09864645646519074,1,11203,11183
