generation,id,novelty,score,species,parent1,parent2
0,135,75.37719715539416,0.3997528283038152,1,-1,-1
1,669,34.22843094694248,0.4607816480219942,2,319,244
2,1147,12.790396804290975,0.47482084738172414,5,934,376
3,1860,5.301056186991541,0.4645463020356294,4,1324,1019
4,2287,12.171339903089878,0.48169317081374075,4,1531,1852
5,2434,23.242586825100293,0.47601500030476374,4,1505,1515
6,2434,17.719455747620092,0.47601500030476374,4,1505,1515
7,2434,16.74210304573665,0.47601500030476374,4,1505,1515
8,3936,13.66967920091211,0.45598899815956356,4,3543,2434
9,4652,6.462716807282831,0.46827978656404623,4,3931,4001
10,5093,8.691785318738296,0.44855216084898547,4,4726,4723
11,5836,9.46132775741342,0.44100122498383926,2,5243,5179
12,6043,11.654307427388899,0.46045473030660156,5,5631,5631
13,6421,5.455027682292638,0.44305157836303843,3,5946,5958
14,7199,12.863869994218618,0.45725967857743977,3,6110,6757
15,7562,9.616796260721967,0.456180713453525,3,6957,6913
16,8302,13.585720927613446,0.45217181122412925,4,7733,6110
17,8473,14.43167487763351,0.4537467991115265,3,7969,7978
18,9157,9.580674437003207,0.44071246279434567,4,8668,8634
19,9705,15.484198196172882,0.45640987875696415,3,8906,9316
20,10031,15.176700052593727,0.46093445382750864,4,9589,9558
21,10759,62.48738066483228,0.5231422858432865,1,10238,10233
22,11275,56.89084378569475,0.4643696772520196,1,10738,8749
23,11734,10.67684626805692,0.4478103414201996,5,11240,10880
24,11882,8.473050309873567,0.45756588549686167,2,11362,11466
25,12450,20.37492577585609,0.4296087064638468,5,11916,11913
26,13024,12.162640766129297,0.44452401289034227,5,12030,12450
27,13645,55.31897314529273,0.5045387258230903,1,13204,13137
28,14080,13.415457624763885,0.4434648980459849,2,13366,13520
29,14656,42.783691912277476,1.0,1,14120,14191
